emoji,label
😀,Happy
😃,Happy
😄,Happy
😁,Happy
😆,Happy
😅,Happy
🤣,Happy
😂,Happy
🙂,Happy
🙃,Happy
😉,Happy
😊,Happy
😇,Happy
✌️,Happy
✌,Happy
✌🏻,Happy
✌🏼,Happy
✌🏽,Happy
✌🏾,Happy
✌🏿,Happy
🤘,Happy
🤘🏻,Happy
🤘🏼,Happy
🤘🏽,Happy
🤘🏾,Happy
🤘🏿,Happy
🤟,Happy
🤟🏻,Happy
🤟🏼,Happy
🤟🏽,Happy
🤟🏾,Happy
🤟🏿,Happy
👍,Happy
👍🏻,Happy
👍🏼,Happy
👍🏽,Happy
👍🏾,Happy
😤,Angry
😡,Angry
😠,Angry
🤬,Angry
👿,Angry
🤮,Angry
🖕,Angry
🖕🏻,Angry
🖕🏼,Angry
🖕🏽,Angry
🖕🏾,Angry
🖕🏿,Angry
😾,Angry
🤨,Angry
😕,sad
😟,sad
🙁,sad
☹️,sad
☹,sad
😥,sad
😢,sad
😭,sad
😖,sad
😣,sad
😞,sad
😓,sad
😩,sad
😫,sad
☺️,neutral
☺,neutral
😋,neutral
😛,neutral
😜,neutral
🤪,neutral
😝,neutral
🤑,neutral
🤗,neutral
🤭,neutral
🤔,neutral
🤐,neutral
😐,neutral
😑,neutral
😶,neutral
😶‍🌫️,neutral
😶‍🌫,neutral
🙄,neutral
😬,neutral
😮‍💨,neutral
🤥,neutral
😌,neutral
😔,neutral
😪,neutral
🤤,neutral
😴,neutral
😷,neutral
🤒,neutral
🤕,neutral
🤢,neutral
🤧,neutral
🥵,neutral
🥶,neutral
🥴,neutral
😵,neutral
😵‍💫,neutral
🤯,neutral
🤠,neutral
🥸,neutral
🤓,neutral
🧐,neutral
😮,neutral
😯,neutral
😲,neutral
😳,neutral
🥺,neutral
😦,neutral
😧,neutral
😨,neutral
😰,neutral
😱,neutral
🥱,neutral
☠️,neutral
💩,neutral
🤡,neutral
👹,neutral
👺,neutral
👻,neutral
👽,neutral
👾,neutral
🤖,neutral
🙀,neutral
💋,neutral
💌,neutral
💘,neutral
💝,neutral
💖,neutral
💗,neutral
💓,neutral
💞,neutral
💕,neutral
💟,neutral
❣️,neutral
❣,neutral
❤‍🔥,neutral
❤️‍🩹,neutral
❤‍🩹,neutral
❤️,neutral
❤,neutral
💢,neutral
💥,neutral
💫,neutral
💦,neutral
💨,neutral
🕳️,neutral
🕳,neutral
💣,neutral
💬,neutral
👁️‍🗨️,neutral
👁‍🗨️,neutral
👁️‍🗨,neutral
👁‍🗨,neutral
🗨️,neutral
🗨,neutral
🗯️,neutral
🗯,neutral
💭,neutral
💤,neutral
👋,neutral
👋🏻,neutral
👋🏼,neutral
👋🏽,neutral
👋🏾,neutral
👋🏿,neutral
🤚,neutral
🤚🏻,neutral
🤚🏼,neutral
🤚🏽,neutral
🤚🏾,neutral
🤚🏿,neutral
🖐️,neutral
🖐,neutral
🖐🏻,neutral
🖐🏼,neutral
🖐🏽,neutral
🖐🏾,neutral
🖐🏿,neutral
✋,neutral
✋🏻,neutral
✋🏼,neutral
✋🏽,neutral
✋🏾,neutral
✋🏿,neutral
🖖,neutral
🖖🏻,neutral
🖖🏼,neutral
🖖🏽,neutral
🖖🏾,neutral
🖖🏿,neutral
👌,neutral
👌🏻,neutral
👌🏼,neutral
👌🏽,neutral
👌🏾,neutral
👌🏿,neutral
🤌,neutral
🤌🏻,neutral
🤌🏼,neutral
🤌🏽,neutral
🤌🏾,neutral
🤌🏿,neutral
🤏,neutral
🤏🏻,neutral
🤏🏼,neutral
🤏🏽,neutral
🤏🏾,neutral
🤏🏿,neutral
🤞,neutral
🤞🏻,neutral
🤞🏼,neutral
🤞🏽,neutral
🤞🏾,neutral
🤞🏿,neutral
🤙,neutral
🤙🏻,neutral
🤙🏼,neutral
🤙🏽,neutral
🤙🏾,neutral
🤙🏿,neutral
👈,neutral
👈🏻,neutral
👈🏼,neutral
👈🏽,neutral
👈🏾,neutral
👈🏿,neutral
👉,neutral
👉🏻,neutral
👉🏼,neutral
👉🏽,neutral
👉🏾,neutral
👉🏿,neutral
👆,neutral
👆🏻,neutral
👆🏼,neutral
👆🏽,neutral
👆🏾,neutral
👆🏿,neutral
👇,neutral
👇🏻,neutral
👇🏼,neutral
👇🏽,neutral
👇🏾,neutral
👇🏿,neutral
☝️,neutral
☝,neutral
☝🏻,neutral
☝🏼,neutral
☝🏽,neutral
☝🏾,neutral
☝🏿,neutral
👍🏿,neutral
👎,neutral
👎🏻,neutral
👎🏼,neutral
👎🏽,neutral
👎🏾,neutral
👎🏿,neutral
✊,neutral
✊🏻,neutral
✊🏼,neutral
✊🏽,neutral
✊🏾,neutral
✊🏿,neutral
👊,neutral
👊🏻,neutral
👊🏼,neutral
👊🏽,neutral
👊🏾,neutral
👊🏿,neutral
🤛,neutral
🤛🏻,neutral
🤛🏼,neutral
🤛🏽,neutral
🤛🏾,neutral
🤛🏿,neutral
🤜,neutral
🤜🏻,neutral
🤜🏼,neutral
🤜🏽,neutral
🤜🏾,neutral
🤜🏿,neutral
👏,neutral
👏🏻,neutral
👏🏼,neutral
👏🏽,neutral
👏🏾,neutral
👏🏿,neutral
🙌,neutral
🙌🏻,neutral
🙌🏼,neutral
🙌🏽,neutral
🙌🏾,neutral
🙌🏿,neutral
👐,neutral
👐🏻,neutral
👐🏼,neutral
👐🏽,neutral
👐🏾,neutral
👐🏿,neutral
🤲,neutral
🤲🏻,neutral
🤲🏼,neutral
🤲🏽,neutral
🤲🏾,neutral
🤲🏿,neutral
🤝,neutral
🙏,neutral
🙏🏻,neutral
🙏🏼,neutral
🙏🏽,neutral
🙏🏾,neutral
🙏🏿,neutral
✍️,neutral
✍,neutral
✍🏻,neutral
✍🏼,neutral
✍🏽,neutral
✍🏾,neutral
✍🏿,neutral
💅,neutral
💅🏻,neutral
💅🏼,neutral
💅🏽,neutral
💅🏾,neutral
💅🏿,neutral
🤳,neutral
🤳🏻,neutral
🤳🏼,neutral
🤳🏽,neutral
🤳🏾,neutral
🤳🏿,neutral
💪,neutral
💪🏻,neutral
💪🏼,neutral
💪🏽,neutral
💪🏾,neutral
💪🏿,neutral
🦾,neutral
🦿,neutral
🦵,neutral
🦵🏻,neutral
🦵🏼,neutral
🦵🏽,neutral
🦵🏾,neutral
🦵🏿,neutral
🦶,neutral
🦶🏻,neutral
🦶🏼,neutral
🦶🏽,neutral
